the bank,906
my account,648
xxxx xxxx,643
a letter,628
my home,414
the loan,409
the account,385
the xxxx,333
the money,321
my husband,316
my mortgage,313
my wife,304
the wells,268
the check,264
a loan modification,251
my loan,248
a complaint,239
the process,237
a copy,234
a payment,227
xxxx xxxx xxxx,212
the time,211
the house,210
the amount,208
the payment,207
my money,205
my credit,204
the phone,203
a wells,202
no one,199
my payments,197
this time,193
the letter,186
a check,183
the funds,182
a modification,180
a xxxx,177
the property,176
the representative,174
my name,166
a call,161
that time,159
fargo bank,157
my credit report,152
the mortgage,152
my house,150
a month,143
the home,143
several times,142
the fact,135
this account,134
a year,132
this issue,130
a loan,130
a mortgage,130
the issue,129
my bank,129
the card,127
this loan,125
short sale,125
my payment,124
the end,124
the information,122
our home,122
my wells,122
this complaint,122
my attorney,119
an account,119
the problem,118
the branch,117
this point,117
the payments,117
the company,116
a result,115
an email,114
this matter,112
my complaint,110
a week,110
the cfpb,110
the lender,109
my mother,109
a credit card,103
the reason,102
the documents,100
the balance,97
my request,97
this process,96
this information,96
late fees,94
this bank,91
the person,91
next day,90
the banker,87
the case,87
this letter,86
an attorney,86
my father,85
a supervisor,83
this situation,81
a lot,80
the modification,80
my credit score,80
my accounts,80
the appraisal,79
monthly payment,79
a representative,78
my son,78
a phone call,78
my case,77
a customer,77
few days,76
a response,76
late fee,75
the manager,75
this company,74
no way,74
a notice,74
the agent,73
our mortgage,73
the terms,73
all i,72
the paperwork,71
my xxxx,69
monthly payments,69
my income,68
xxxx xxxx xxxx xxxx,67
a victim,67
our loan,66
the consumer,65
my property,65
the file,65
each time,64
every time,64
no idea,63
my job,63
the situation,63
the status,63
my daughter,63
the debt,60
my application,60
a bank,60
the car,59
the rep,59
my card,59
the call,59
this point i,58
late payments,58
the number,58
your help,57
a claim,57
my family,57
the servicer,57
the fees,56
my funds,55
numerous times,55
a couple,55
a message,54
a home,54
many times,54
the interest,53
the fee,53
same day,53
xxxx payment,53
any help,53
my balance,53
the name,52
the offer,52
several months,52
the date,52
the supervisor,52
no response,52
my car,51
the run,51
few months,51
a request,50
the sale,50
my checking account,49
a problem,49
the charge,49
the vehicle,49
your assistance,48
last year,48
a manager,48
the attorney,47
the day,47
the teller,47
a checking account,47
the application,47
the way,46
an appraisal,46
my life,46
single point,46
the law,45
a hold,45
the transaction,45
an answer,44
a mistake,44
last week,44
the matter,44
every month,44
local branch,44
my mortgage company,43
our house,43
the claim,43
xxxx payments,43
fargo mortgage,43
a lawyer,42
multiple times,42
every time i,42
xxxx xxxx i,42
that day,42
my mortgage payment,42
my credit card,42
the transfer,41
my information,41
a branch,41
late payment,41
the beginning,41
a total,41
my realtor,41
a refund,41
an hour,40
a statement,40
this debt,40
our payments,40
the meantime,40
the xxxx xxxx,40
a balance,40
the mortgage company,40
the charges,40
the credit card,39
my check,39
several years,39
a number,39
my mortgage payments,39
each month,39
xxxx dollars,39
no reason,39
the interest rate,39
the office,38
my situation,38
this money,38
the loan officer,38
the borrower,38
the documentation,38
the checks,38
the banks,37
a day,37
few weeks,37
my business,37
xxxx year,37
xxxx mortgage,37
the branch manager,37
each time i,37
a deposit,37
the closing,37
that time i,37
the accounts,37
the request,37
first time,37
an offer,36
the investor,36
all documents,36
our account,36
this year,36
the people,36
a house,36
the lady,35
a refinance,35
my claim,35
the sale date,35
this practice,35
this time i,35
personal banker,35
