my account,2630
the bank,2244
xxxx xxxx,1959
the loan,1636
the account,1511
my home,1318
the xxxx,1255
a letter,1123
the money,997
the check,871
my mortgage,869
the amount,869
my loan,848
the funds,751
the payment,743
fargo bank,738
the property,729
the house,679
the phone,631
the wells,629
my credit,623
my wife,618
my husband,618
a payment,618
the mortgage,606
my money,604
a loan modification,598
the process,585
the time,584
the home,555
my name,545
my credit report,530
my payments,496
a copy,475
a month,472
a modification,466
xxxx xxxx xxxx,462
no one,452
our home,450
a check,446
a xxxx,440
short sale,434
a wells,421
my house,413
the fact,401
a complaint,398
the card,396
this loan,389
this account,386
the payments,378
a year,377
an account,376
my payment,374
my wells,374
the balance,374
this matter,373
a loan,367
the letter,350
this time,350
the end,330
that time,329
this issue,325
the issue,323
a call,321
the information,318
the cfpb,315
late fees,313
the company,309
my bank,303
the lender,301
my property,300
the consumer,298
monthly payment,298
a mortgage,292
the representative,283
several times,278
late fee,276
the modification,273
the debt,273
the branch,273
my request,271
my mother,264
my accounts,259
each month,251
the case,244
a credit card,244
the documents,242
this complaint,241
every month,240
a week,236
my case,235
a result,233
my credit score,230
our mortgage,229
the sale,228
the problem,227
my complaint,225
the appraisal,223
the reason,223
my income,221
an email,218
our loan,217
my attorney,216
the person,215
my family,215
the situation,214
the mail,210
next day,209
the name,208
this information,205
monthly payments,203
the terms,202
the day,201
the file,199
my son,197
this bank,197
this situation,196
the transaction,195
my card,195
my xxxx,194
the date,194
a lot,189
my father,185
the interest,182
the paperwork,182
the borrower,181
a supervisor,180
due date,180
my application,178
the month,177
this point,177
this process,175
same day,174
a home,174
my checking account,172
the car,170
my credit card,170
the banker,169
my funds,169
late payments,169
an attorney,168
fargo mortgage,167
the xxxx xxxx,166
xxxx xxxx xxxx xxxx,165
a response,164
xxxx payment,163
the fees,162
late payment,162
this letter,162
the manager,162
the application,161
my bank account,160
the court,160
the matter,159
the status,158
a customer,158
the foreclosure,156
few days,155
each time,154
the way,154
a notice,153
my balance,153
the state,151
my daughter,150
the charge,149
the law,147
a balance,146
a representative,144
our account,144
my file,143
the vehicle,142
my life,141
my job,140
a mistake,140
this company,139
no way,139
a day,136
last year,136
a phone call,136
the call,136
a bank,135
every time,135
a problem,134
the fee,133
xxxx dollars,133
a victim,133
my savings,131
the charges,130
the servicer,129
no response,129
the transfer,128
a claim,127
few months,127
my knowledge,126
the beginning,125
the accounts,125
a total,124
the checks,124
xxxx mortgage,123
that day,123
the agent,123
the number,123
xxxx payments,122
the credit bureaus,122
several months,121
the system,121
a hold,121
all i,120
the value,120
the deed,119
our house,119
no idea,119
my claim,118
this year,118
the note,118
multiple times,117
a couple,117
numerous times,116
new account,115
my car,115
a debt,115
the credit card,115
a message,114
the claim,113
the right,113
my mortgage payment,113
a refund,113
the attorney,112
a foreclosure,112
the interest rate,112
the office,111
several years,111
the closing,111
the run,111
their customers,110
the banks,110
the deposit,110
my situation,109
no avail,109
the mortgage company,109
my business,108
a statement,107
the loan modification,107
the offer,106
my debit card,106
many times,106
the investor,105
an answer,104
the request,104
my information,103
the branch manager,103
no reason,103
the customer,103
this case,103
a checking account,102
the rep,102
local branch,102
my check,100
direct deposit,100
the irs,100
this debt,99
the teller,99
this property,99
an appraisal,99
last week,98
the hold,98
a fee,98
principal balance,97
the documentation,97
the underwriter,96
a company,96
any information,96
a number,95
my mortgage payments,95
the complaint,95
the past,94
the estate,94
the agreement,94
the line,93
the contract,93
enough money,93
the rate,93
the title,92
the loans,91
the form,91
same thing,91
a manager,91
the sale date,90
a branch,90
the seller,90
our credit,90
the atm,89
a request,89
a deposit,89
that account,89
an offer,89
my mortgage company,88
the statement,88
social security,88
the supervisor,88
financial protection bureau,86
my sister,86
my calls,86
the document,86
the opportunity,86
a decision,85
your help,85
a transaction,85
an issue,85
your account,85
a house,85
no record,85
few years,84
a person,84
xxxx months,84
timely manner,84
a deed,84
any help,84
this money,83
a refinance,83
our payments,83
my behalf,83
first time,83
xxxx account,82
my debt,82
a banker,82
this amount,82
xxxx years,81
the address,81
the point,81
single point,81
my call,81
a lawyer,80
an attempt,80
the program,80
my parents,80
a sale date,80
an hour,79
an error,79
minimum payment,79
